Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2023-08-10,319.20794677734375,324.4765308361969,317.4781170324145,322.2623282499184,20113700
2023-08-11,317.3101806640625,318.6940388077584,315.53090862287206,316.56882485502774,24342600
2023-08-14,320.30523681640625,320.32499544370245,316.3908566710484,317.68578582210785,18836100
2023-08-15,318.15032958984375,321.3431124974694,317.20140269076705,319.27720479224416,16966300
2023-08-16,317.377685546875,321.35978454495915,316.7833392545049,317.7739063318857,20698900
2023-08-17,313.8908996582031,318.8338196904496,313.22720641667973,317.5163787813706,21257200
2023-08-18,313.49468994140625,315.3767614049802,308.61117111318896,311.5234408357638,24744800
2023-08-21,318.84375,319.72533901894826,314.04940875807927,314.9309977770275,24040000
2023-08-22,319.41827392578125,323.004122163059,318.42770677825877,322.4296065185685,16102000
2023-08-23,323.9154357910156,326.0946954631443,320.4088198566661,320.76543972560916,21166400
2023-08-24,316.9517822265625,329.83907092946674,316.94186688124137,329.7102923591371,23281400
2023-08-25,319.9333801269531,322.29090448568866,315.7927865800753,318.4376140983813,21684100
2023-08-28,320.6465759277344,323.07344713621103,318.68524222639564,322.58807894045736,14808500
2023-08-29,325.3121337890625,325.8767642718409,318.84373205694396,318.84373205694396,19284600
2023-08-30,325.68853759765625,326.6989050711042,323.3706144081888,325.5696743925102,15222100
2023-08-31,324.6683349609375,327.78861578543473,323.6975681629926,326.0947542343729,26411000
2023-09-01,325.559814453125,328.8583898761106,323.69754330969545,328.184811445848,14931200
2023-09-05,330.4036560058594,331.6914114200369,325.55979843195536,325.89658763051284,18553900
2023-09-06,329.739990234375,331.305072994731,327.06544689827825,330.2352737981181,17535800
2023-09-07,326.7980041503906,329.9380850110211,325.9263002427993,328.16499162095795,18381000
2023-09-08,331.1168212890625,332.9890074354377,326.352196421873,326.9762584706647,19530100
2023-09-11,334.7522888183594,335.2277719667598,332.2659554221078,334.05887967232275,16583300
2023-09-12,328.64044189453125,333.6131081744858,328.3531991956685,332.65225686072523,17565500
2023-09-13,332.8899841308594,333.672540620453,328.0461266305685,328.1847903080037,16544400
2023-09-14,335.50506591796875,337.64466410550597,333.39515330250424,335.9508029446612,20267000
2023-09-15,327.1050720214844,334.217336610677,326.540441514089,333.74188374525704,37666900
2023-09-18,325.9560241699219,327.28338052420895,323.2814807713204,324.7078998866131,16834200
2023-09-19,325.5498352050781,326.28287533384974,321.44890358608217,323.09324841698384,16505900
2023-09-20,317.74420166015625,326.4810108438582,317.486674767217,326.40177877596363,21436500
2023-09-21,316.5158996582031,322.2810073516276,312.02863196954377,316.24845742778143,35529500
2023-09-22,314.0196838378906,318.41780414936176,313.1677804184283,318.28902559051323,21447900
2023-09-25,314.544677734375,314.6734562909907,312.02862889736053,313.60362692042037,17836000
2023-09-26,309.19561767578125,312.900328819341,307.09559010844697,312.157403521801,26297600
2023-09-27,309.8395080566406,311.3352439005283,306.76874383832666,309.3541095957723,19410100
2023-09-28,310.6814880371094,312.5041279221364,306.53100935907986,308.0564609683584,19683600
2023-09-29,312.7715759277344,316.45648691507375,312.0088501090386,314.7527102170629,24140300
2023-10-02,318.7644958496094,318.8536734949948,312.2069461724641,313.2965760802322,20570000
2023-10-03,310.4338073730469,318.358343391753,308.274348333373,317.80359805911417,21033500
2023-10-04,315.9512634277344,317.02109278941384,311.03805923659553,311.0677750394362,20720100
2023-10-05,316.34747314453125,316.961650097937,311.9295526417263,316.08003092831916,16965600
2023-10-06,324.1730041503906,326.084791429699,313.3163667904676,313.56400856953996,25645500
2023-10-09,326.7088623046875,327.1843151862334,320.1314819660079,321.686679635388,19891200
2023-10-10,325.2923583984375,327.976786889985,324.5791488467311,327.8380929797901,20557100
2023-10-11,329.2843322753906,329.6805530737714,326.0352733611334,328.08572430592403,20063200
2023-10-12,328.0362243652344,330.482926459862,325.6192380762212,327.4517933683425,19313100
2023-10-13,324.6385803222656,330.6810157045469,323.28147794480293,329.2447114865088,21072400
2023-10-16,329.50225830078125,332.96924318914955,327.4814929300995,327.927229992207,22158000
2023-10-17,328.9277038574219,330.31449173060963,324.32157295768366,326.4810019480552,18338500
2023-10-18,326.9961242675781,332.4244434126796,325.20320005183953,329.35367904311386,23153600
2023-10-19,328.1947021484375,333.7022528617968,327.7885660057624,329.0168595486858,25052100
2023-10-20,323.58856201171875,328.78903919276047,322.38006896236453,328.5909136844565,25012600
2023-10-23,326.21356201171875,329.59139942320206,321.33007350300215,322.39987266135313,24374700
2023-10-24,327.4121398925781,328.70978036544676,324.5097855665259,328.17486567114935,31153600
2023-10-25,337.4565124511719,342.93434738928164,334.43526461185274,341.76545521871486,55053800
2023-10-26,324.79705810546875,338.40744026763304,323.8560072767667,337.3277257655851,37828500
2023-10-27,326.698974609375,333.54379777322436,325.302271192206,327.3131214531558,29856500
2023-10-30,334.12823486328125,336.2480632770234,328.699915480085,330.26502865521877,22828100
2023-10-31,334.9206237792969,335.8022429983136,331.5329012652958,335.6536639809817,20265300
2023-11-01,342.8055419921875,344.14281353902476,336.4460883090784,336.5847822046158,28158800
2023-11-02,345.03436279296875,345.53953149183053,341.51783121302196,343.96453332419264,24348100
2023-11-03,349.4720764160156,351.04710477759244,344.0536729275239,346.3319954972326,23624000
2023-11-06,353.1668701171875,354.167352513998,350.01687414448827,350.1159368957074,23828300
2023-11-07,357.129150390625,359.0409376119259,354.25651188648914,356.0098047464276,25833900
2023-11-08,359.77398681640625,360.4376498521563,357.1489597884209,358.2683054606333,26767800
2023-11-09,357.28765869140625,361.34898994935685,356.9607546115584,358.8824572522027,24847300
2023-11-10,366.1829833984375,366.60892003148234,357.6640995889836,358.0801208767028,28042100
2023-11-13,363.2210998535156,364.9942232456299,362.448458803664,364.7465814959376,19986500
2023-11-14,366.77728271484375,368.44145847858766,363.88484360517197,367.510322951988,27683900
2023-11-15,366.92620849609375,370.36051882672837,364.3851817384097,368.524244039484,26860100
2023-11-16,373.3779296875,373.55658638591603,367.43236925654054,368.20657857407457,27182300
2023-11-17,367.1048278808594,371.59126768484566,364.2759756899048,370.836899022974,40157000
2023-11-20,374.6384582519531,376.0578368231194,368.24625665651735,368.4646249206246,52465100
2023-11-21,370.30096435546875,373.4275780062099,368.36542575254623,372.88167239567645,28423100
2023-11-22,375.0454406738281,376.9710435818407,372.18681242725006,375.1943212510325,23345300
2023-11-24,374.6285705566406,375.164570962539,372.35558957569657,374.5293067346497,10176600
2023-11-27,375.7998352050781,377.8147970516832,373.4077495612657,373.9834313095328,22179200
2023-11-28,379.8594665527344,380.15722772173007,375.35315568518746,375.5417478559064,20453100
2023-11-29,376.0379943847656,381.4475236203958,374.63845646571406,380.91155357646585,28963400
2023-11-30,376.09759521484375,377.26882955398304,372.6831257280476,375.6806992801835,30554400
2023-12-01,371.7302551269531,375.3531573911705,368.5539946182593,373.9635547777664,33020400
2023-12-04,366.40008544921875,366.7772394676553,360.2063810389884,366.3603738663603,32063300
2023-12-05,369.7550048828125,370.3108459279077,362.90622534848177,363.7300817378277,23065000
2023-12-06,366.0626220703125,371.4026946281754,365.2983481911379,370.76746068896693,21182100
